Region	Arbeitsstätten	Beschäftigte
996  Wolfisberg	0	0
995  Wiedlisbach	17	400
993  Wangenried	1	30
992  Wangen an der Aare	15	386
991  Walliswil bei Wangen	1	30
990  Walliswil bei Niederbipp	2	39
99  Schöfflisdorf	5	114
989  Thörigen	5	116
988  Seeberg	4	73
987  Rumisberg	0	0
985  Ochlenberg	0	0
983  Oberbipp	10	236
982  Niederönz	3	64
981  Niederbipp	24	671
980  Inkwil	2	64
98  Schleinikon	1	11
979  Herzogenbuchsee	49	1368
978  Hermiswil	1	13
977  Heimenhausen	1	13
976  Graben	0	0
975  Farnern	1	15
973  Bettenhausen	2	28
972  Berken	1	19
971  Attiswil	2	112
97  Rümlang	87	2115
960  Wyssachen	4	83
96  Regensdorf	119	3032
959  Walterswil (BE)	1	12
958  Trachselwald	3	53
957  Sumiswald	29	669
956  Rüegsau	13	319
955  Lützelflüh	22	494
954  Huttwil	53	1466
953  Eriswil	4	102
952  Dürrenroth	2	65
951  Affoltern im Emmental	8	166
95  Regensberg	3	52
948  Forst-Längenbühl	2	41
947  Zwieselberg	0	0
946  Wachseldorn	0	0
945  Unterlangenegg	3	53
944  Uetendorf	57	1248
943  Uebeschi	0	0
942  Thun	325	8857
941  Thierachern	5	109
940  Teuffenthal (BE)	0	0
94  Otelfingen	36	872
939  Steffisburg	73	1882
938  Sigriswil	14	382
937  Schwendibach	0	0
936  Pohlern	0	0
935  Oberlangenegg	0	0
934  Oberhofen am Thunersee	11	320
932  Horrenbach-Buchen	0	0
931  Homberg	0	0
930  Höfen	1	19
93  Oberweningen	6	142
929  Hilterfingen	16	433
928  Heimberg	44	1275
927  Heiligenschwendi	1	50
925  Fahrni	0	0
924  Eriz	0	0
923  Buchholterberg	3	87
922  Blumenstein	6	150
921  Amsoldingen	1	21
92  Oberglatt	20	464
91  Niederweningen	5	97
909  Trubschachen	4	120
908  Trub	3	99
907  Signau	6	126
906  Schangnau	1	42
905  Rüderswil	8	204
904  Röthenbach im Emmental	2	26
903  Lauperswil	11	213
902  Langnau im Emmental	67	1828
901  Eggiwil	11	256
90  Niederhasli	24	603
9  Mettmenstetten	23	525
89  Niederglatt	16	357
888  Wald (BE)	0	0
886  Wattenwil	13	276
885  Uttigen	4	87
884  Toffen	3	47
883  Seftigen	10	196
881  Rümligen	0	0
880  Rüeggisberg	4	73
88  Neerach	4	74
879  Riggisberg	13	392
878  Noflen	0	0
877  Niedermuhlern	0	0
876  Mühlethurnen	6	115
875  Mühledorf (BE)	0	0
874  Lohnstorf	0	0
873  Kirchenthurnen	1	30
872  Kirchdorf (BE)	3	68
871  Kienersrüti	0	0
870  Kehrsatz	13	237
87  Hüttikon	2	32
869  Kaufdorf	2	25
868  Jaberg	1	29
867  Gurzelen	1	19
866  Gerzensee	3	65
865  Gelterfingen	0	0
863  Burgistein	2	66
861  Belp	81	2056
86  Dielsdorf	49	1175
855  Schwarzenburg	34	822
853  Rüschegg	4	81
852  Guggisberg	3	72
85  Dänikon	4	117
843  Saanen	122	3212
842  Lauenen	3	50
841  Gsteig	3	46
84  Dällikon	37	1011
83  Buchs (ZH)	28	640
82  Boppelsen	1	28
81  Bachs	3	90
8  Maschwanden	1	13
794  Zweisimmen	21	491
793  St. Stephan	5	109
792  Lenk	29	645
791  Boltigen	2	41
786  Schattenhalb	2	47
785  Meiringen	42	894
784  Innertkirchen	1	33
783  Hasliberg	9	169
782  Guttannen	1	14
781  Gadmen	0	0
769  Wimmis	8	162
768  Spiez	61	1596
767  Reutigen	2	49
766  Oberwil im Simmental	1	14
765  Oberstocken	0	0
764  Niederstocken	1	28
763  Erlenbach im Simmental	11	187
762  Diemtigen	12	287
761  Därstetten	3	68
756  Twann-Tüscherz	4	64
755  Worben	9	226
754  Walperswil	4	128
751  Täuffelen	10	244
750  Sutz-Lattrigen	9	219
749  Studen (BE)	29	691
748  Schwadernau	1	72
747  Scheuren	1	43
746  Safnern	4	84
745  Port	16	391
744  Orpund	8	227
743  Nidau	44	1108
742  Mörigen	1	36
741  Merzligen	0	0
740  Ligerz	1	15
739  Ipsach	13	286
738  Jens	1	21
737  Hermrigen	0	0
736  Hagneck	1	14
735  Epsach	0	0
734  Bühl	0	0
733  Brügg	43	912
732  Bellmund	2	28
731  Aegerten	7	163
725  Prêles	2	58
724  Nods	2	30
723  La Neuveville	17	378
722  Lamboing	2	27
721  Diesse	2	46
72  Winkel	9	194
715  Rebévelier	0	0
713  Tavannes	24	636
712  Souboz	0	0
711  Sorvilier	1	18
710  Sornetan	1	19
71  Wil (ZH)	9	199
709  Seehof	0	0
708  Schelten	0	0
707  Saules (BE)	0	0
706  Saicourt	2	35
704  Roches (BE)	0	0
703  Reconvilier	13	258
702  Pontenet	1	26
701  Perrefitte	1	25
700  Moutier	49	1057
70  Wasterkingen	1	17
7  Knonau	9	223
699  Monible	0	0
697  Malleray	13	357
696  Loveresse	3	94
694  Grandval	1	13
692  Eschert	2	62
691  Crémines	4	123
690  Court	17	421
69  Wallisellen	177	4381
687  Corcelles (BE)	1	14
684  Châtelat	1	18
683  Champoz	0	0
682  Bévilard	11	285
6810  La Baroche	4	117
681  Belprahon	3	49
6809  Haute-Ajoie	1	40
6808  Clos du Doubs	2	58
6807  Basse-Allaine	8	170
6806  Vendlincourt	1	21
6803  Rocourt	0	0
6800  Porrentruy	83	2280
68  Rorbas	9	154
6793  Lugnez	1	17
6792  Grandfontaine	1	14
6790  Fontenais	2	27
6789  Fahy	3	50
6787  Damphreux	0	0
6785  Courtedoux	2	70
6784  Courgenay	17	412
6783  Courchavon	2	64
6782  Cornol	4	75
6781  Coeuve	1	22
6778  Bure	2	51
6775  Bonfol	2	70
6774  Boncourt	10	292
6773  Beurnevésin	0	0
6771  Alle	12	303
6759  Soubey	0	0
6758  Saint-Brais	0	0
6757  Saignelégier	25	541
6754  Le Noirmont	17	474
6753  Muriaux	0	0
6751  Montfaucon	1	14
6750  Lajoux (JU)	3	90
6748  Les Genevez (JU)	4	106
6745  Les Enfers	0	0
6744  La Chaux-des-Breuleux	0	0
6743  Les Breuleux	12	220
6742  Les Bois	2	46
6741  Le Bémont (JU)	0	0
6730  Val Terbi	10	271
6729  Haute-Sorne	33	860
6728  Vellerat	0	0
6724  Soyhières	1	11
6722  Saulcy	1	18
6721  Rossemaison	3	80
6720  Rebeuvelier	1	39
6719  Pleigne	1	23
6718  Movelier	0	0
6716  Mettembert	0	0
6715  Mervelier	1	18
6713  Ederswiler	1	12
6712  Develier	10	198
6711  Delémont	159	4511
6710  Courtételle	5	115
671  Wileroltigen	0	0
6709  Courroux	14	331
6708  Courrendlin	9	198
6706  Courchapoix	0	0
6705  Corban	0	0
6704  Châtillon (JU)	0	0
6703  Bourrignon	0	0
6702  Boécourt	1	22
670  Neuenegg	14	332
67  Rafz	22	540
669  Münchenwiler	4	107
668  Mühleberg	12	251
667  Laupen	16	465
666  Kriechenwil	0	0
665  Gurbrü	2	74
6645  Veyrier	21	456
6644  Versoix	40	1030
6643  Vernier	219	5256
6642  Vandoeuvres	7	161
6641  Troinex	8	144
6640  Thônex	54	1296
664  Golaten	5	81
6639  Soral	1	38
6638  Satigny	126	2922
6637  Russin	1	32
6636  Puplinge	7	157
6635  Presinge	0	0
6634  Pregny-Chambésy	11	308
6633  Plan-les-Ouates	133	3262
6632  Perly-Certoux	16	304
6631  Onex	45	1126
6630  Meyrin	230	5529
663  Frauenkappelen	10	304
6629  Meinier	12	234
6628  Lancy	193	4691
6627  Laconnex	0	0
6626  Jussy	2	41
6625  Hermance	2	82
6624  Gy	1	12
6623  Le Grand-Saconnex	80	2183
6622  Genthod	10	308
6621  Genève	1630	40196
6620  Dardagny	2	26
662  Ferenbalm	5	102
6619  Corsier (GE)	3	57
6618  Confignon	14	372
6617  Cologny	20	508
6616  Collonge-Bellerive	38	932
6615  Collex-Bossy	2	24
6614  Choulex	1	17
6613  Chêne-Bourg	40	902
6612  Chêne-Bougeries	41	954
6611  Chancy	0	0
6610  Céligny	1	12
661  Clavaleyres	0	0
6609  Cartigny	2	28
6608  Carouge (GE)	294	7289
6607  Bernex	30	647
6606  Bellevue	7	270
6605  Bardonnex	4	96
6604  Avusy	1	10
6603  Avully	2	29
6602  Anières	6	133
6601  Aire-la-Ville	1	11
66  Opfikon	168	4188
6512  Val-de-Travers	56	1434
6511  Les Verrières	2	43
6504  La Côte-aux-Fées	4	113
65  Oberembrach	2	27
6487  Val-de-Ruz	68	1710
6485  Valangin	0	0
6461  La Tène	50	1237
6459  Saint-Blaise	24	551
6458  Neuchâtel	372	9549
6456  Lignières	2	46
6455  Le Landeron	13	321
6454  Hauterive (NE)	13	300
6453  Enges	0	0
6452  Cressier (NE)	7	174
6451  Cornaux	9	183
6437  Les Ponts-de-Martel	4	82
6436  Le Locle	74	1810
6435  La Chaux-du-Milieu	0	0
6434  Le Cerneux-Péquignot	1	13
6433  Brot-Plamboz	1	29
6432  La Brévine	1	16
6431  Les Brenets	7	237
6423  La Sagne	2	70
6422  Les Planchettes	1	13
6421  La Chaux-de-Fonds	304	8128
6416  Milvignes	37	1037
6415  Vaumarcus	2	46
6414  Saint-Aubin-Sauges	14	367
6413  Rochefort	4	87
6412  Peseux	28	753
6411  Montalchez	0	0
6410  Gorgier	4	136
6409  Fresens	2	64
6408  Cortaillod	28	708
6407  Corcelles-Cormondrèche	15	281
6405  Brot-Dessous	0	0
6404  Boudry	29	694
6402  Bevaix	17	476
64  Nürensdorf	15	261
632  Wichtrach	16	365
6300  Zermatt	129	2906
630  Allmendingen	2	77
63  Lufingen	5	107
6299  Zeneggen	0	0
6298  Visperterminen	1	13
6297  Visp	102	2599
6296  Törbel	0	0
6295  Täsch	5	75
6294  Staldenried	0	0
6293  Stalden (VS)	6	87
6292  St. Niklaus	9	239
6291  Saas-Grund	4	140
6290  Saas-Fee	26	495
629  Oberhünigen	0	0
6289  Saas-Balen	3	45
6288  Saas-Almagell	2	38
6287  Randa	2	33
6286  Lalden	3	68
6285  Grächen	4	66
6283  Embd	0	0
6282  Eisten	0	0
6281  Baltschieder	0	0
628  Zäziwil	7	161
627  Worb	60	1521
6267  Veysonnaz	2	31
6266  Sion	382	10084
6265  Savièse	15	307
6263  Grimisuat	5	118
6261  Arbaz	2	29
626  Walkringen	11	216
6252  Anniviers	19	389
6250  Veyras	1	19
625  Tägertschi	2	23
6249  Venthône	1	16
6248  Sierre	125	3255
6246  Saint-Léonard	7	120
6244  Randogne	14	270
6243  Montana	22	636
6242  Mollens (VS)	3	53
6241  Miège	2	25
6240  Lens	24	519
624  Schlosswil	2	34
6239  Icogne	2	51
6238  Grône	5	114
6235  Chippis	5	130
6234  Chermignon	21	438
6232  Chalais	12	290
623  Rubigen	9	271
6220  Vérossaz	1	17
622  Oppligen	2	73
6219  Vernayaz	8	213
6218  Salvan	2	61
6217  Saint-Maurice	24	708
6215  Massongex	7	132
6214  Finhaut	2	41
6213  Evionnaz	6	101
6212  Dorénaz	1	16
6211  Collonges	1	10
6204  Steg-Hohtenn	11	210
6203  Mörel-Filet	4	71
6202  Wiler (Lötschen)	2	52
6201  Unterbäch	1	11
620  Oberthal	2	106
62  Kloten	237	6055
6199  Raron	12	305
6198  Niedergesteln	0	0
6197  Kippel	1	30
6195  Ferden	1	44
6194  Eischoll	1	12
6193  Bürchen	3	53
6192  Blatten	0	0
6191  Ausserberg	1	12
619  Oberdiessbach	19	458
6181  Riederalp	9	193
6178  Martisberg	0	0
6177  Grengiols	1	35
6173  Bitsch	7	160
6172  Bister	0	0
6171  Betten	9	164
617  Niederhünigen	1	21
616  Münsingen	87	2418
6159  Vouvry	14	310
6158  Vionnaz	11	198
6157  Val-d'Illiez	5	98
6156  Troistorrents	10	209
6155  Saint-Gingolph	0	0
6154  Port-Valais	6	157
6153  Monthey	102	2660
6152  Collombey-Muraz	54	1274
6151  Champéry	8	173
615  Mirchel	1	35
6142  Trient	2	23
6141  Saxon	17	463
6140  Saillon	5	117
614  Linden	6	160
6139  Riddes	19	528
6137  Martigny-Combe	7	201
6136  Martigny	176	4458
6135  Leytron	10	213
6134  Isérables	6	108
6133  Fully	23	561
6132  Charrat	12	252
6131  Bovernier	0	0
613  Landiswil	2	46
612  Konolfingen	31	815
6119  Turtmann-Unterems	7	167
6118  Gampel-Bratsch	11	265
6117  Guttet-Feschel	0	0
6116  Varen	0	0
6113  Salgesch	8	224
6112  Oberems	0	0
6111  Leukerbad	19	369
6110  Leuk	20	462
611  Kiesen	3	56
6109  Inden	0	0
6104  Ergisch	0	0
6102  Albinen	2	50
6101  Agarn	3	55
610  Herbligen	0	0
61  Hüntwangen	4	90
6090  Mont-Noble	4	55
609  Häutligen	0	0
6089  Vex	4	138
6087  Saint-Martin (VS)	3	84
6084  Hérémence	4	79
6083  Evolène	5	82
6082  Ayent	15	335
6081  Les Agettes	0	0
608  Grosshöchstetten	23	583
6076  Obergoms	6	112
6075  Reckingen-Gluringen	1	16
6074  Münster-Geschinen	9	152
6073  Grafschaft	0	0
607  Freimettigen	0	0
6064  Niederwald	1	30
6061  Lax	1	21
606  Brenzikofen	0	0
6058  Fieschertal	6	150
6057  Fiesch	10	254
6056  Ernen	3	77
6055  Blitzingen	1	12
6054  Binn	0	0
6052  Bellwald	3	73
605  Bowil	4	87
604  Bleiken bei Oberdiessbach	0	0
6036  Vollèges	8	160
6035  Sembrancher	5	155
6034  Orsières	17	399
6033  Liddes	1	21
6032  Bourg-Saint-Pierre	1	45
6031  Bagnes	87	2068
603  Biglen	8	221
6025  Vétroz	17	327
6024  Nendaz	33	749
6023  Conthey	53	1222
6022  Chamoson	10	170
6021  Ardon	14	339
602  Arni (BE)	0	0
6011  Zwischbergen	2	26
6010  Termen	1	40
6009  Simplon	1	35
6008  Ried-Brig	3	51
6007  Naters	21	520
6004  Eggerberg	1	15
6002  Brig-Glis	133	3317
60  Höri	19	475
6  Kappel am Albis	3	88
594  Wilderswil	13	254
5939  Yvonand	13	308
5938  Yverdon-les-Bains	194	4790
5937  Vugelles-La Mothe	0	0
5935  Villars-Epeney	0	0
5934  Valeyres-sous-Ursins	0	0
5933  Valeyres-sous-Montagny	1	13
5932  Ursins	0	0
5931  Treycovagnes	2	37
5930  Suscévaz	0	0
593  Unterseen	36	864
5929  Suchy	1	17
5928  Rovray	0	0
5926  Pomy	2	38
5925  Orzens	1	13
5924  Orges	0	0
5923  Oppens	3	82
5922  Montagny-près-Yverdon	26	607
5921  Molondin	1	21
592  Schwanden bei Brienz	0	0
5919  Mathod	1	19
5915  Essert-Pittet	1	17
5914  Ependes (VD)	0	0
5913  Donneloye	2	33
5912  Démoret	0	0
5911  Cuarny	0	0
5910  Cronay	0	0
591  Saxeten	0	0
5909  Cheseaux-Noréaz	2	53
5908  Chêne-Pâquier	1	22
5907  Chavannes-le-Chêne	0	0
5905  Champvent	4	79
5904  Chamblon	2	50
5903  Bioley-Magnoux	0	0
5902  Belmont-sur-Yverdon	0	0
590  Ringgenberg (BE)	11	291
59  Hochfelden	3	53
5891  Veytaux	3	98
5890  Vevey	141	3725
589  Oberried am Brienzersee	0	0
5889  La Tour-de-Peilz	36	967
5888  Saint-Légier-La Chiésaz	37	766
5886  Montreux	134	3493
5885  Jongny	2	45
5884  Corsier-sur-Vevey	15	294
5883  Corseaux	6	100
5882  Chardonne	4	130
5881  Blonay	25	798
588  Niederried bei Interlaken	0	0
5873  Le Lieu	4	122
5872  Le Chenit	39	1074
5871  L'Abbaye	7	162
587  Matten bei Interlaken	18	413
5863  Vinzel	0	0
5862  Tartegnin	0	0
5861  Rolle	40	973
5860  Perroy	3	89
586  Lütschental	0	0
5859  Mont-sur-Rolle	3	81
5858  Luins	1	14
5857  Gilly	3	65
5856  Essertines-sur-Rolle	1	18
5855  Dully	1	13
5854  Burtigny	4	88
5853  Bursins	5	105
5852  Bursinel	0	0
5851  Allaman	3	76
585  Leissigen	5	125
5843  Rougemont	1	14
5842  Rossinière	2	25
5841  Château-d'Oex	21	531
584  Lauterbrunnen	42	1007
5831  Valbroye	10	266
5830  Villarzel	1	15
5828  Treytorrens (Payerne)	0	0
5827  Trey	2	69
5822  Payerne	72	1940
5821  Missy	0	0
582  Iseltwald	1	16
5819  Henniez	1	18
5817  Grandcour	2	32
5816  Corcelles-près-Payerne	6	132
5813  Chevroux	0	0
5812  Champtauroz	0	0
581  Interlaken	103	2803
5805  Oron	25	689
5804  Jorat-Menthue	3	96
5803  Vulliens	0	0
580  Hofstetten bei Brienz	5	112
58  Glattfelden	11	300
5799  Servion	5	121
5798  Ropraz	0	0
5792  Montpreveyres	1	14
5791  Mézières (VD)	5	134
5790  Maracon	1	26
579  Habkern	0	0
5789  Ferlens (VD)	0	0
5788  Essertes	0	0
5785  Corcelles-le-Jorat	0	0
5782  Carrouge (VD)	8	194
578  Gündlischwand	0	0
577  Gsteigwiler	1	18
5766  Vuiteboeuf	3	69
5765  Vaulion	2	39
5764  Vallorbe	17	413
5763  Valeyres-sous-Rances	1	48
5762  Sergey	1	12
5761  Romainmôtier-Envy	2	46
5760  Rances	0	0
576  Grindelwald	52	1386
5759  Premier	0	0
5758  La Praz	0	0
5757  Orbe	37	850
5756  Montcherand	2	26
5755  Lignerolle	0	0
5754  Juriens	1	14
5752  Croy	2	59
5751  Corcelles-sur-Chavornay	2	31
5750  Les Clées	0	0
575  Därligen	1	13
5749  Chavornay	12	243
5748  Bretonnières	0	0
5747  Bofflens	0	0
5746  Bavois	2	54
5745  Baulmes	4	74
5744  Ballaigues	5	168
5743  Arnex-sur-Orbe	1	15
5742  Agiez	1	13
5741  L'Abergement	1	14
574  Brienzwiler	1	19
5732  Vich	5	172
5731  Le Vaud	4	69
5730  Trélex	2	54
573  Brienz (BE)	27	594
5729  Tannay	0	0
5728  Signy-Avenex	11	204
5727  Saint-Cergue	3	50
5726  La Rippe	2	35
5725  Prangins	10	232
5724  Nyon	186	4665
5723  Mies	10	288
